,,serum,ic50,ic90,nt50,nt90,DateSetUp,Plate,SampleNum
rnd1,0,0793-1,0.010629207409547415,0.05,94.08039202450556,20.0,201013,Plate1,1
rnd1,1,0846-1,0.05,0.05,20.0,20.0,201013,Plate1,2
rnd1,2,0807-1,0.020702462918569833,0.05,48.30343152567675,20.0,201013,Plate1,3
rnd1,3,0813-1,0.05,0.05,20.0,20.0,201013,Plate1,4
rnd1,4,0863-1,0.00020686469644703434,0.0008251556860828893,4834.0776225973395,1211.8925153956304,201013,Plate2,1
rnd1,5,0867-1,0.00020151833152193334,0.0009745007361972003,4962.327707100729,1026.1664900349954,201013,Plate2,2
rnd1,6,0872-1,0.00012731323634388133,0.0006462347150306166,7854.642837755965,1547.4253808117119,201013,Plate2,3
rnd1,7,0876-1,0.0006885292051247171,0.002331498502411829,1452.3712175997885,428.9087035507617,201013,Plate2,4
rnd1,8,0794-1,0.005679284758104986,0.05,176.07851033933213,20.0,201013,Plate3,1
rnd1,9,0848-1,0.05,0.05,20.0,20.0,201013,Plate3,2
rnd1,10,0810-1,0.05,0.05,20.0,20.0,201013,Plate3,3
rnd1,11,0812-1,0.05,0.05,20.0,20.0,201013,Plate3,4
rnd1,12,0861-1,0.0006616249811545786,0.004378243934638155,1511.4302338689436,228.40207510791566,201013,Plate4,1
rnd1,13,0835-1,0.00024754401559929935,0.0007261085597259171,4039.6856194605193,1377.204533131338,201013,Plate4,2
rnd1,14,0829-1,0.000205761316872428,0.0004508353610110916,4859.999999999999,2218.104626392422,201013,Plate4,3
rnd1,15,0879-1,0.0002301874715649176,0.0008067384311836251,4344.285087287991,1239.559145004195,201013,Plate4,4
rnd1,16,0839-1,0.009221006629544991,0.05,108.44802961055292,20.0,201013,Plate5,1
rnd1,17,0801-1,0.027208467801065575,0.05,36.75326399529328,20.0,201013,Plate5,2
rnd1,18,0808-1,0.020813063993172294,0.05,48.04674604027783,20.0,201013,Plate5,3
rnd1,19,0815-1,0.021279811454199618,0.05,46.992897571122406,20.0,201013,Plate5,4
rnd1,20,0864-1,0.0001595635864944208,0.0008342346862999106,6267.094027965869,1198.7034541027178,201013,Plate6,1
rnd1,21,0831-1,0.00024358760123735376,0.0007716481483334625,4105.299263674721,1295.9274277528064,201013,Plate6,2
rnd1,22,0828-1,0.0002863863205471039,0.001305513024959804,3491.7868915303975,765.982399931084,201013,Plate6,3
rnd1,23,0877-1,0.00021701485952717837,0.0011404480378998578,4607.979389884878,876.848367279851,201013,Plate6,4
rnd1,24,0840-1,0.05,0.05,20.0,20.0,201013,Plate7,1
rnd1,25,GF-8,0.046062695200883456,0.05,21.70954165054633,20.0,201013,Plate7,2
rnd1,26,Ty1-Fc,0.010799051892791494,0.7387219615588013,92.60072179739342,1.3536892796443567,201013,Plate7,3
rnd1,27,2017-2018 Pool,0.05,0.05,20.0,20.0,201013,Plate7,4
rnd1,28,20/130 Ref,0.0001746522477643624,0.0025891400382312873,5725.663498755433,386.22862619788134,201013,Plate7,5
rnd2,0,0805-1,0.05,0.05,20.0,20.0,201014,Plate1,1
rnd2,1,0854-1,0.05,0.05,20.0,20.0,201014,Plate1,2
rnd2,2,0858-1,0.0022111111573296866,0.05,452.2612970791027,20.0,201014,Plate1,3
rnd2,3,0817-1,7.542212570392383e-05,0.0004176889398728172,13258.708776328947,2394.126117642693,201014,Plate1,4
rnd2,4,0834-1,9.597332109277831e-05,0.0007572804835447941,10419.562318087237,1320.5146860764817,201014,Plate2,1
rnd2,5,0827-1,0.0002615436392261322,0.0016347164221968712,3823.453718694317,611.726894292843,201014,Plate2,2
rnd2,6,0825-1,0.00015675601421068268,0.0009964427827932492,6379.340563329095,1003.5699161739916,201014,Plate2,3
rnd2,7,0837-1,0.008914194112439941,0.05,112.18063993070102,20.0,201014,Plate2,4
rnd2,8,0803-1,0.05,0.05,20.0,20.0,201014,Plate3,1
rnd2,9,0852-1,0.05,0.05,20.0,20.0,201014,Plate3,2
rnd2,10,0856-1,0.05,0.05,20.0,20.0,201014,Plate3,3
rnd2,11,0818-1,9.829387006015939e-05,0.0008133568765105984,10173.574398769364,1229.4726077562948,201014,Plate3,4
rnd2,12,0866-1,8.688309301390963e-05,0.0003474122857243012,11509.719156060708,2878.4243997449707,201014,Plate4,1
rnd2,13,0874-1,0.00023618425131965014,0.0017755824658810047,4233.982555621827,563.195469213998,201014,Plate4,2
rnd2,14,0823-1,0.0001987792444334803,0.0009475634767762771,5030.7063136797515,1055.3382696873439,201014,Plate4,3
rnd2,15,0795-1,0.0034515787946687733,0.01832295100372808,289.72248918221896,54.57636162409292,201014,Plate4,4
rnd2,16,0850-1,0.05,0.05,20.0,20.0,201014,Plate5,1
rnd2,17,0853-1,0.05,0.05,20.0,20.0,201014,Plate5,2
rnd2,18,0859-1,0.04914953783143,0.05,20.34607127801969,20.0,201014,Plate5,3
rnd2,19,0816-1,0.00011134843868919155,0.0009248082764864634,8980.817439131895,1081.3052017648515,201014,Plate5,4
rnd2,20,0870-1,9.029392760525752e-05,0.00042993138214827774,11074.941876177432,2325.9525624838266,201014,Plate6,1
rnd2,21,0873-1,0.00017188410120977282,0.001840836415747524,5817.87374726164,543.2313221563044,201014,Plate6,2
rnd2,22,0824-1,9.590494254260963e-05,0.0004326809625304944,10426.991284163585,2311.171709870462,201014,Plate6,3
rnd2,23,Ty1-FC,0.0405209005582517,0.892751179037566,24.678622296718906,1.1201329367921464,201014,Plate6,5
rnd2,24,2017-2018 serum pool,,,,,201014,Plate6,4
rnd3,0,GF-8,0.05,0.05,20.0,20.0,201015,Plate9,1
rnd3,1,2017-2018 Serum Pool,0.05,0.05,20.0,20.0,201015,Plate9,2
rnd3,2,Ty1,0.046309717719012974,0.8549421730812362,21.593739915832803,1.1696697525119988,201015,Plate9,3
rnd3,3,Ref 20/130,0.0002487658671105087,0.0022986829576950845,4019.844087194536,435.0317196429347,201015,Plate9,4
