,,serum,ic50,ic90,nt50,nt90,DateSetUp,Plate,SampleNum
rnd3,4,0873-2,1.6638723984065734e-05,7.859058309286119e-05,60100.76259199092,12724.170767614974,201015,Plate8,1
rnd3,5,0877-2,7.100559513879543e-06,4.205090802145976e-05,140833.9720335121,23780.699324962778,201015,Plate8,2
rnd3,6,0861-2,1.0984221623022746e-05,6.029766078450823e-05,91039.6780327171,16584.391284660276,201015,Plate7,1
rnd3,7,0866-2,4.252633540970013e-06,2.0305386660989e-05,235148.40636183834,49248.01564706051,201015,Plate7,2
rnd3,8,0854-2,0.0014843418614269807,0.012748250706573065,673.6992508172236,78.44213476947036,201015,Plate6,1
rnd3,9,0858-2,1.579646938267365e-05,7.100405541993561e-05,63305.285236513,14083.702601009925,201015,Plate6,2
rnd3,10,0837-2,0.0001028374436020168,0.00028853867204128717,9724.084584113372,3465.739940249359,201015,Plate5,1
rnd3,11,0848-2,0.0001766113786760022,0.0014088912489388739,5662.149333166828,709.777990851433,201015,Plate5,2
rnd3,12,0872-2,1.5172949071104222e-05,9.409100404372493e-05,65906.76573906303,10628.008598306498,201015,Plate4,1
rnd3,13,0876-2,1.0026834718207749e-05,6.555061129376931e-05,99732.3709928217,15255.38786386652,201015,Plate4,2
rnd3,14,0863-2,6.80565853072297e-06,3.295535543360552e-05,146936.55220661935,30344.081768885168,201015,Plate3,1
rnd3,15,0870-2,6.391174818133953e-06,2.8836110021721256e-05,156465.7560551555,34678.74131589643,201015,Plate3,2
rnd3,16,0852-2,0.00044632902400845877,0.0023974316002682754,2240.4996005391936,417.1130470992786,201015,Plate2,1
rnd3,17,0859-2,3.574021900929586e-05,0.00012016984922814249,27979.68304950523,8321.554919333383,201015,Plate2,2
rnd3,18,0839-2,1.2546331720829043e-05,6.55691043877685e-05,79704.57200169752,15251.085238043052,201015,Plate1,1
rnd3,19,0846-2,0.00016706832174068645,0.0008236023629073183,5985.5751801478,1214.1781580980385,201015,Plate1,2
rnd4,0,0840-2,2.8583574503261794e-05,0.0003090552063999065,34985.12755589353,3235.6678654558414,201018,Plate1,1
rnd4,1,0850-2,0.00025320501039052503,0.0007265523112639318,3949.3689262217704,1376.363387049682,201018,Plate1,2
rnd4,2,0853-2,0.0018091618621591697,0.008289144186390618,552.7421403889954,120.63971593615562,201018,Plate2,1
rnd4,3,0856-2,0.00031813321143927783,0.01137969980956783,3143.3373317921264,87.8757802696359,201018,Plate2,2
rnd4,4,0864-2,8.514141716567059e-06,3.777718141494154e-05,117451.65082866445,26471.006108583908,201018,Plate3,1
rnd4,5,0867-2,5.914484300199989e-06,4.97314042428014e-05,169076.4484684128,20108.0185694686,201018,Plate3,2
rnd4,6,0874-2,1.094120590579288e-05,7.845562644899194e-05,91397.6035740763,12746.058444261504,201018,Plate4,1
rnd4,7,0879-2,6.254752771086668e-06,5.157973941609095e-05,159878.42151373558,19387.457387736187,201018,Plate4,2
rnd4,8,0793-2,2.2383609403070716e-05,0.00012802102570825738,44675.54727178245,7811.216903376988,201018,Plate5,1
rnd4,9,0805-2,0.0014694837310368738,0.016666667,680.5111066417836,59.99999880000003,201018,Plate5,2
rnd4,10,0810-2,0.0005324608048292047,0.004059299250996864,1878.0725096202452,246.34793794875426,201018,Plate6,1
rnd4,11,0815-2,0.001010660202057744,0.006351157513348433,989.4522392036023,157.4516138039826,201018,Plate6,2
rnd4,12,0817-2,3.3717815258238416e-05,0.000283874128725162,29657.91206640133,3522.688046603107,201018,Plate7,1
rnd4,13,0834-2,1.2214197785429143e-05,7.101424567345664e-05,81871.93441332219,14081.681647345515,201018,Plate7,2
rnd4,14,0829-2,9.835719439535786e-06,8.541170633875856e-05,101670.24447448012,11707.996981512299,201018,Plate8,1
rnd4,15,0825-2,4.057836635793295e-06,2.5948258138520433e-05,246436.73211957756,38538.232302980316,201018,Plate8,2
rnd4,16,0829-1,0.00010177823604029255,0.0009110702372497298,9825.283271800017,1097.6102161110264,201018,Plate9,1
rnd4,17,0879-1,0.00020912222219520896,0.0012045286062868103,4781.892567431364,830.2002914506872,201018,Plate9,2
rnd4,18,Ty1,0.01367242180242632,0.5731868392794125,73.13993193382456,1.744631822421394,201018,Plate9,3
rnd4,19,2017-2018 Serum Pool,0.05,0.05,20.0,20.0,201018,Plate9,4
rnd5,0,0828-2,1.694118567387539e-05,7.988912095722525e-05,59027.74571097918,12517.348895795541,201019,Plate4,1
rnd5,1,0824-2,6.055998441194973e-06,2.749293930948626e-05,165125.537879544,36372.97521167395,201019,Plate4,2
rnd5,2,0818-2,7.255220425940451e-06,3.9078020771760865e-05,137831.78749808637,25589.83234695025,201019,Plate3,1
rnd5,3,0831-2,8.729226261743473e-06,4.228815396117233e-05,114557.69045448843,23647.28431792433,201019,Plate3,2
rnd5,4,0816-2,8.877487936295685e-06,3.755077805068266e-05,112644.4786155655,26630.606658809837,201019,Plate7,1
rnd5,5,0835-2,3.058366471681647e-06,1.287234088768662e-05,326971.9339586366,77685.94762407019,201019,Plate7,2
rnd5,6,0827-2,8.388448460252132e-06,3.224049574177727e-05,119211.55679007927,31016.892792507497,201019,Plate8,1
rnd5,7,0823-2,8.854972075268656e-06,4.151405781102097e-05,112930.90384699608,24088.225837911814,201019,Plate8,2
rnd5,8,0794-2,2.100980219714608e-05,0.00017723076279097563,47596.830784815174,5642.361316129926,201019,Plate5,1
rnd5,9,0801-2,0.00027447997338580647,0.0012682380900191914,3643.2530492649435,788.4954787825901,201019,Plate5,2
rnd5,10,0807-2,4.416022641309208e-05,0.00021132400827175257,22644.811433836585,4732.070000839884,201019,Plate2,1
rnd5,11,0812-2,0.0011712126834981995,0.003272849553197059,853.815890221733,305.54413936416887,201019,Plate2,2
rnd5,12,0808-2,4.767323488752323e-05,0.00014524101311547415,20976.13057639842,6885.107577740097,201019,Plate6,1
rnd5,13,0813-2,0.002030791956121648,0.008566314396269004,492.4187320053075,116.73631783063469,201019,Plate6,2
rnd5,14,0795-2,1.4144583262601568e-05,4.178078319434336e-05,70698.44204205088,23934.44841252733,201019,Plate1,1
rnd5,15,0803-2,0.0008918659074173327,0.00419995616321887,1121.2447876786794,238.0977231994713,201019,Plate1,2
rnd5,16,0858-1,0.008604241757856516,0.044365908917009235,116.22174598789046,22.53982899055664,201019,Plate9,1
rnd5,17,Ref 20/130,0.0003798331445503902,0.001665966941201995,2632.7349636212066,600.2520069686977,201019,Plate9,2
rnd5,18,Ty1,0.04970971781388474,0.6391215689706952,20.116790920922984,1.564647554627986,201019,Plate9,3
rnd5,19,2017-2018 Serum Pool,0.05,0.05,20.0,20.0,201019,Plate9,4
