DateSetUp,Sample,Plate,SampleNum,Virus,PlateLayout,StartDil,DilFactor
201019,0795-2,Plate1,1,S-d21-D614G,layout2.csv,0.025,3
201019,0803-2,Plate1,2,S-d21-D614G,layout2.csv,0.025,3
201019,0807-2,Plate2,1,S-d21-D614G,layout2.csv,0.025,3
201019,0812-2,Plate2,2,S-d21-D614G,layout2.csv,0.025,3
201019,0818-2,Plate3,1,S-d21-D614G,layout2.csv,0.025,3
201019,0831-2,Plate3,2,S-d21-D614G,layout2.csv,0.025,3
201019,0828-2,Plate4,1,S-d21-D614G,layout2.csv,0.025,3
201019,0824-2,Plate4,2,S-d21-D614G,layout2.csv,0.025,3
201019,0794-2,Plate5,1,S-d21-D614G,layout2.csv,0.025,3
201019,0801-2,Plate5,2,S-d21-D614G,layout2.csv,0.025,3
201019,0808-2,Plate6,1,S-d21-D614G,layout2.csv,0.025,3
201019,0813-2,Plate6,2,S-d21-D614G,layout2.csv,0.025,3
201019,0816-2,Plate7,1,S-d21-D614G,layout2.csv,0.025,3
201019,0835-2,Plate7,2,S-d21-D614G,layout2.csv,0.025,3
201019,0827-2,Plate8,1,S-d21-D614G,layout2.csv,0.025,3
201019,0823-2,Plate8,2,S-d21-D614G,layout2.csv,0.025,3
201019,0858-1,Plate9,1,S-d21-D614G,layout1.csv,0.05,3
201019,Ref 20/130,Plate9,2,S-d21-D614G,layout1.csv,0.025,3
201019,Ty1,Plate9,3,S-d21-D614G,layout1.csv,6.778,3
201019,2017-2018 Serum Pool,Plate9,4,S-d21-D614G,layout1.csv,0.05,3
